EURING Code,Current Name,Date Updated,Notes,Old name,Current IOC code
11450,Oenanthe bottae,02/06/2008,,Oenanthe bottae,31581
11460,Oenanthe oenanthe,02/06/2008,,Oenanthe oenanthe,31569
11461,Oenanthe oenanthe oenanthe,02/06/2008,,Oenanthe oenanthe oenanthe,31571
11462,Oenanthe oenanthe leucorhoa,02/06/2008,,Oenanthe oenanthe leucorhoa,31570
11463,Oenanthe seebohmi,02/06/2008,,Oenanthe oenanthe seebohmi,31575
11470,Oenanthe pleschanka,02/06/2008,,Oenanthe pleschanka,31596
11471,Oenanthe cypriaca,23/03/2015,aka  oenanthe cypriaca,Oenanthe pleschanka cypriaca,31600
11480,Oenanthe hispanica/melanoleuca,02/06/2008,,Oenanthe hispanica,NA
11481,Oenanthe hispanica hispanica,02/06/2008,,Oenanthe hispanica hispanica,NA
11482,Oenanthe hispanica melanoleuca,02/06/2008,,Oenanthe hispanica melanoleuca,NA
11490,Oenanthe deserti,02/06/2008,,Oenanthe deserti,31590
11500,Oenanthe finschii,02/06/2008,,Oenanthe finschii,31638
11510,Oenanthe moesta,02/06/2008,,Oenanthe moesta,31610
11520,Oenanthe xanthoprymna,02/06/2008,,Oenanthe xanthoprymna,31649
11521,Oenanthe chrysopygia,19/03/2012,Red-tailed Wheatear,Oenanthe chrysopygia,31651
11530,Oenanthe picata,02/06/2008,,Oenanthe picata,31637
11540,Oenanthe lugens,02/06/2008,,Oenanthe lugens,31643
11550,Oenanthe monacha,02/06/2008,,Oenanthe monacha,31589
11560,Oenanthe albonigra,02/06/2008,,Oenanthe alboniger,31658
11570,Oenanthe leucopyga,02/06/2008,,Oenanthe leucopyga,31654
11580,Oenanthe leucura,02/06/2008,,Oenanthe leucura,31659
11589,Oenanthe sp.,02/06/2008,,Oenanthe sp.,NA
11590,Phoenicurus leucocephalus,02/06/2008,,Chaimarrornis leucocephalus,31391
11600,Copsychus fulicatus,02/06/2008,,Saxicoloides fulicata,30587
11610,Monticola rufocinereus,02/06/2008,,Monticola rufocinerea,31435
